Registro,Causa de falla
1,Vibración excesiva
2,Sobrecalentamiento
3,Herramienta desgastada
4,Vibración excesiva
5,Herramienta desgastada
6,Fallo eléctrico
7,Contaminación ambiental
8,Desalineación mecánica
9,Sobrecalentamiento
10,Software mal configurado
11,Vibración excesiva
12,Herramienta desgastada
13,Contaminación ambiental
14,Lubricación deficiente
15,Sobrecalentamiento
16,Lubricación deficiente
17,Software mal configurado
18,Desalineación mecánica
19,Sobrecalentamiento
20,Fallo eléctrico
21,Vibración excesiva
22,Desalineación mecánica
23,Fallo eléctrico
24,Sobrecalentamiento
25,Vibración excesiva
26,Sobrecalentamiento
27,Vibración excesiva
28,Desalineación mecánica
29,Contaminación ambiental
30,Desalineación mecánica
31,Fallo eléctrico
32,Desalineación mecánica
33,Sobrecalentamiento
34,Sobrecalentamiento
35,Sobrecalentamiento
36,Vibración excesiva
37,Desalineación mecánica
38,Sobrecalentamiento
39,Contaminación ambiental
40,Contaminación ambiental
41,Fallo eléctrico
42,Vibración excesiva
43,Fallo eléctrico
44,Sobrecalentamiento
45,Fallo eléctrico
46,Lubricación deficiente
47,Lubricación deficiente
48,Sobrecalentamiento
49,Lubricación deficiente
50,Vibración excesiva
51,Fallo eléctrico
52,Desalineación mecánica
53,Lubricación deficiente
54,Vibración excesiva
55,Desalineación mecánica
56,Desalineación mecánica
57,Contaminación ambiental
58,Fallo eléctrico
59,Sobrecalentamiento
60,Contaminación ambiental
61,Fallo eléctrico
62,Vibración excesiva
63,Desalineación mecánica
64,Error humano
65,Fallo eléctrico
66,Vibración excesiva
67,Sobrecalentamiento
68,Contaminación ambiental
69,Vibración excesiva
70,Desalineación mecánica
71,Lubricación deficiente
72,Sobrecalentamiento
73,Desalineación mecánica
74,Desalineación mecánica
75,Fallo eléctrico
76,Desalineación mecánica
77,Fallo eléctrico
78,Lubricación deficiente
79,Lubricación deficiente
80,Desalineación mecánica
81,Sobrecalentamiento
82,Sobrecalentamiento
83,Error humano
84,Vibración excesiva
85,Fallo eléctrico
86,Desalineación mecánica
87,Herramienta desgastada
88,Desalineación mecánica
89,Vibración excesiva
90,Vibración excesiva
91,Lubricación deficiente
92,Desalineación mecánica
93,Desalineación mecánica
94,Error humano
95,Desalineación mecánica
96,Desalineación mecánica
97,Error humano
98,Sobrecalentamiento
99,Desalineación mecánica
100,Fallo eléctrico
101,Lubricación deficiente
102,Error humano
103,Fallo eléctrico
104,Contaminación ambiental
105,Error humano
106,Sobrecalentamiento
107,Desalineación mecánica
108,Error humano
109,Sobrecalentamiento
110,Desalineación mecánica
111,Sobrecalentamiento
112,Herramienta desgastada
113,Fallo eléctrico
114,Desalineación mecánica
115,Lubricación deficiente
116,Desalineación mecánica
117,Software mal configurado
118,Desalineación mecánica
119,Sobrecalentamiento
120,Fallo eléctrico